time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y,path x,path y
98.00185633,1.778166042,4.758862526,46.00273583,0.15,0,,,,
98.05738306,1.785045786,4.765987206,46.00130517,0.15,0,,,,
98.11863208,1.788590956,4.769658425,46.00038253,0.15,0,,,,
98.17831492,1.792032515,4.773222217,45.9994163,0.15,0,,,,
98.24539971,1.79902033,4.780457825,45.99838682,0.15,0,,,,
98.29231215,1.79902033,4.780457825,45.99838682,0.15,0,,,,
98.33933568,1.805900087,4.787581641,46.00015381,0.15,0,,,,
98.39463186,1.812832939,4.794765891,46.03921749,0.15,0,,,,
98.47544193,1.819741569,4.801922731,45.97161118,0.15,0,,,,
98.51394272,1.823175719,4.805474963,45.9689145,0.15,0,,,,
98.57729053,1.830154999,4.812694452,45.96937362,0.15,0,,,,
98.65187097,1.837031951,4.819808139,45.96929585,0.15,0,,,,
98.69891429,1.840575509,4.823473647,45.96909892,0.15,0,,,,
98.75805449,1.844015448,4.827031942,45.96879174,0.15,0,,,,
98.79955626,1.851001489,4.834258195,45.96778083,0.15,0,,,,
98.85464168,1.857885921,4.84137902,45.96628321,0.15,0,,,,
98.91310287,1.861433506,4.845048244,45.96533387,0.15,0,,,,
98.97101283,1.864877371,4.848610054,45.96437834,0.15,0,,,,
99.03412795,1.868321381,4.852171874,45.96374355,0.15,0,,,,
99.0828464,1.871869418,4.85584121,45.96360841,0.15,0,,,,
99.13364339,1.878751784,4.862959357,45.96652174,0.15,0,,,,
99.19360495,1.889084037,4.873654754,45.96246874,0.15,0,,,,
99.26098347,1.892599617,4.877288246,45.93344177,0.15,0,,,,
99.31139517,1.896039112,4.88084165,45.93396718,0,0.2,,,,
99.36582541,1.901980425,4.886990005,46.1933878,0,0.2,,,,
99.42374086,1.905665492,4.890863584,46.99920251,0.15,0,,,,
99.47765779,1.906711856,4.891990426,47.60877796,0.15,0,,,,
99.54032826,1.907508104,4.892870456,47.990839,0.15,0,,,,
99.59784603,1.910143312,4.895813811,48.14000982,0.15,0,,,,
99.65607929,1.914542864,4.900699055,47.7525434,0.15,0,,,,
99.71934342,1.917600567,4.904047927,47.43219448,0.15,0,,,,
99.77762771,1.920892139,4.90762478,47.35956475,0.15,0,,,,
99.85314512,1.924246294,4.911267181,47.35870278,0.15,0,,,,
99.92890644,1.931058304,4.91866419,47.35656047,0.15,0,,,,
99.97798324,1.934414441,4.922308305,47.35538063,0.15,0,,,,
100.0330546,1.941228667,4.929706768,47.35415491,0.15,0,,,,
100.0856097,1.948038774,4.937100995,47.35719939,0,0.2,,,,
100.1536937,1.95137399,4.940723842,47.37609573,0,0.2,,,,
100.2150779,1.957710166,4.947612594,47.35419322,0,0.2,,,,
100.2792242,1.963091803,4.9534238,47.41835878,0,0.2,,,,
100.3319635,1.965524586,4.956056304,47.51083385,0,0.2,,,,
100.3905716,1.969634965,4.960527494,47.79706098,0,0.2,,,,
100.4327209,1.969634965,4.960527494,47.79706098,0,0.2,,,,
100.4898572,1.974480082,4.965871391,48.47025205,0,0.2,,,,
100.5499866,1.975793154,4.96734234,48.75634674,0,0.2,,,,
100.6028872,1.976924336,4.968620577,49.05811383,0,0.2,,,,
100.6660068,1.978833782,4.970807237,49.73435621,0,0.2,,,,
100.7125158,1.978833782,4.970807237,49.73435621,0,0.2,,,,
100.7658665,1.980895126,4.973215987,50.86519838,0,0.2,,,,
100.8299556,1.981857985,4.974344009,51.62482703,0,0.2,,,,
100.8856108,1.98223129,4.974799196,51.97310646,0.15,0,,,,
100.9622185,1.982515774,4.975155269,52.26234786,0.15,0,,,,
101.0227005,1.982736234,4.975449361,52.53060577,0.15,0,,,,
101.0720322,1.983237664,4.976156422,53.02103933,0.15,0,,,,
101.1338916,1.984306736,4.977603857,53.34258025,0.15,0,,,,
